sale_id,team,category,channel,units_sold,unit_price,sale_date,total_revenue
40,Bulls,Footwear,Arena Store,2,109,2024-03-14,218
41,Lakers,Footwear,Arena Store,4,109,2022-10-02,436
42,Lakers,Footwear,Retail Partner,1,111,2022-10-17,111
43,Warriors,Hats,Arena Store,2,162,2024-05-14,324
44,Bulls,Hoodies,Retail Partner,4,76,2023-07-09,304
45,Bulls,Hoodies,Retail Partner,1,140,2023-03-24,140
46,Knicks,Footwear,Arena Store,1,65,2024-04-10,65
47,Mavericks,Hats,Online,4,151,2023-07-12,604
48,Mavericks,Collectibles,Retail Partner,1,147,2022-07-28,147
49,Clippers,Jerseys,Retail Partner,2,172,2022-12-13,344
50,Nets,Jerseys,Retail Partner,2,161,2022-04-25,322
51,Suns,Hoodies,Retail Partner,4,123,2023-09-24,492
52,Nuggets,Hats,Online,1,170,2022-01-23,170
53,Celtics,Hats,Online,3,53,2023-03-14,159
54,Bulls,Collectibles,Retail Partner,3,77,2022-09-16,231
55,76ers,Collectibles,Arena Store,1,118,2022-09-03,118
56,Nets,Hats,Retail Partner,3,106,2023-07-06,318
57,76ers,Footwear,Online,3,106,2023-08-29,318
58,Celtics,Jerseys,Retail Partner,1,71,2023-12-25,71
59,Bucks,Footwear,Retail Partner,1,135,2024-01-29,135
60,Nets,Hoodies,Arena Store,2,96,2022-09-30,192
61,Heat,Jerseys,Retail Partner,3,147,2022-08-29,441
62,Celtics,Jerseys,Arena Store,4,118,2022-11-15,472
63,Heat,Collectibles,Online,4,117,2023-02-17,468
64,Bulls,T-Shirts,Online,4,102,2022-04-09,408
65,Knicks,Footwear,Arena Store,4,87,2022-02-20,348
66,Suns,Jerseys,Arena Store,4,136,2022-02-01,544
67,Bucks,Footwear,Retail Partner,3,132,2022-03-18,396
68,Celtics,Hats,Online,3,35,2022-12-08,105
69,Mavericks,Collectibles,Retail Partner,3,115,2024-06-06,345
70,Clippers,Collectibles,Arena Store,3,80,2022-10-31,240
71,Celtics,T-Shirts,Arena Store,1,167,2024-01-18,167
72,Mavericks,Hoodies,Retail Partner,3,155,2023-01-29,465
73,Spurs,Footwear,Arena Store,4,176,2022-04-13,704
74,Lakers,Hoodies,Online,2,169,2023-10-06,338
75,Spurs,Collectibles,Online,1,84,2022-04-28,84
76,Suns,Hoodies,Online,2,176,2023-01-14,352
77,76ers,Hats,Online,1,126,2023-06-15,126
78,Celtics,Jerseys,Online,2,54,2023-03-18,108
79,Nuggets,Hoodies,Arena Store,4,157,2023-06-14,628
80,Celtics,Footwear,Arena Store,2,103,2022-05-07,206
81,Bulls,Footwear,Arena Store,4,120,2023-12-21,480
82,Nuggets,Hats,Arena Store,2,150,2023-01-08,300
83,Bulls,T-Shirts,Online,4,175,2022-03-06,700
84,Celtics,T-Shirts,Retail Partner,2,152,2023-05-20,304
85,Spurs,Collectibles,Arena Store,2,146,2023-10-16,292
86,Nuggets,Footwear,Online,2,136,2023-01-28,272
87,Raptors,Hats,Arena Store,2,96,2023-11-24,192
88,Nuggets,Footwear,Online,1,89,2024-04-02,89
89,Spurs,Hats,Online,2,56,2024-01-19,112
90,Bulls,Hats,Arena Store,2,173,2022-02-03,346
91,Nuggets,Footwear,Retail Partner,4,161,2023-01-08,644
92,Knicks,Jerseys,Arena Store,4,109,2023-12-10,436
93,Spurs,Collectibles,Arena Store,3,135,2022-07-25,405
94,Lakers,Footwear,Online,2,138,2023-12-03,276
95,Heat,Hoodies,Retail Partner,3,138,2023-01-23,414
96,Heat,Hoodies,Online,3,31,2022-07-20,93
97,Mavericks,Footwear,Retail Partner,4,29,2022-08-22,116
98,Nets,Collectibles,Arena Store,1,142,2022-05-17,142
99,76ers,Footwear,Retail Partner,3,49,2024-01-12,147
100,Heat,Jerseys,Arena Store,4,26,2023-12-06,104
101,Celtics,Hoodies,Retail Partner,3,137,2023-04-28,411
102,Suns,Collectibles,Online,2,26,2024-01-07,52
103,Nuggets,Footwear,Retail Partner,2,49,2022-05-21,98
104,Mavericks,Jerseys,Online,4,120,2023-12-29,480
105,76ers,T-Shirts,Retail Partner,3,35,2024-01-12,105
106,Clippers,Hats,Retail Partner,4,150,2022-04-23,600
107,Nuggets,Hoodies,Retail Partner,2,85,2023-08-23,170
108,Mavericks,Footwear,Retail Partner,3,37,2022-04-17,111
109,Lakers,Collectibles,Online,3,98,2022-11-27,294
110,Celtics,Hats,Online,3,106,2022-08-21,318
111,Clippers,Hoodies,Retail Partner,3,109,2024-06-18,327
112,Warriors,Footwear,Online,2,159,2024-06-06,318
113,Celtics,T-Shirts,Retail Partner,4,77,2022-10-19,308
114,Bucks,Collectibles,Online,1,97,2023-07-05,97
115,Heat,T-Shirts,Arena Store,1,93,2024-05-13,93
116,Lakers,Hoodies,Online,1,90,2022-11-27,90
117,Warriors,Jerseys,Arena Store,3,112,2023-12-01,336
118,Bulls,Hats,Retail Partner,3,73,2023-02-11,219
119,Nuggets,Footwear,Arena Store,3,95,2022-09-28,285
120,Lakers,T-Shirts,Arena Store,3,30,2022-02-28,90
121,Knicks,Jerseys,Retail Partner,3,94,2024-02-11,282
122,Suns,Hats,Online,4,91,2022-07-27,364
123,Nuggets,Footwear,Arena Store,2,50,2023-08-26,100
124,Raptors,Jerseys,Arena Store,1,33,2022-11-18,33
125,Lakers,Footwear,Arena Store,1,67,2022-11-23,67
126,76ers,T-Shirts,Arena Store,1,160,2024-02-19,160
127,Warriors,T-Shirts,Online,3,124,2022-09-13,372
128,Bulls,Hoodies,Arena Store,3,176,2023-07-29,528
129,Warriors,Hats,Online,1,165,2022-09-03,165
130,Warriors,Hats,Online,4,35,2023-07-27,140
131,Raptors,T-Shirts,Retail Partner,2,166,2022-03-11,332
132,76ers,Hoodies,Retail Partner,1,130,2024-03-22,130
133,Lakers,T-Shirts,Arena Store,1,105,2024-01-12,105
134,Bucks,Jerseys,Online,2,49,2024-06-05,98
135,Suns,Hoodies,Online,3,85,2024-02-17,255
136,Heat,Footwear,Retail Partner,3,31,2023-08-17,93
137,Clippers,Jerseys,Retail Partner,2,109,2024-06-14,218
138,Nets,Jerseys,Retail Partner,1,93,2022-11-02,93
139,Spurs,Collectibles,Retail Partner,2,61,2022-08-18,122
140,Nuggets,Jerseys,Online,2,179,2022-12-11,358
141,Warriors,Jerseys,Retail Partner,1,46,2022-03-02,46
142,Warriors,Collectibles,Online,4,126,2023-12-27,504
143,76ers,Collectibles,Retail Partner,3,64,2022-07-04,192
144,Nets,Footwear,Arena Store,2,59,2024-01-20,118
145,Warriors,Jerseys,Arena Store,2,134,2023-03-04,268
146,Celtics,Collectibles,Arena Store,3,32,2022-06-03,96
147,Bulls,Hats,Retail Partner,3,147,2023-01-29,441
148,Celtics,Hats,Arena Store,2,103,2024-06-13,206
149,Raptors,Hoodies,Online,2,51,2024-01-12,102
150,76ers,Footwear,Retail Partner,4,82,2022-06-14,328
151,Lakers,Hats,Retail Partner,1,77,2023-12-10,77
152,Clippers,Collectibles,Online,4,42,2023-12-21,168
153,Nuggets,Collectibles,Retail Partner,3,82,2023-07-30,246
154,Raptors,Hoodies,Retail Partner,4,95,2023-11-23,380
155,Mavericks,Footwear,Arena Store,4,106,2024-04-14,424
156,Nets,Hoodies,Arena Store,4,145,2023-07-05,580
157,Raptors,Jerseys,Arena Store,2,176,2023-12-10,352
158,Heat,T-Shirts,Retail Partner,1,179,2024-03-22,179
159,Warriors,Hoodies,Arena Store,3,33,2022-06-10,99
160,Bucks,Collectibles,Retail Partner,2,124,2022-11-17,248
161,Nuggets,Hats,Online,3,111,2024-02-17,333
162,Heat,Jerseys,Online,4,104,2024-02-29,416
163,Nets,Jerseys,Retail Partner,4,117,2023-04-11,468
164,Celtics,Collectibles,Retail Partner,4,35,2022-04-27,140
165,Mavericks,T-Shirts,Online,2,68,2023-11-03,136
166,Heat,Jerseys,Retail Partner,3,118,2022-11-12,354
167,Bulls,T-Shirts,Retail Partner,2,40,2023-03-10,80
168,Knicks,Hats,Arena Store,3,54,2022-01-23,162
169,Suns,T-Shirts,Retail Partner,3,128,2022-11-07,384
170,Nets,Collectibles,Online,4,114,2023-01-01,456
171,Nuggets,Hoodies,Arena Store,2,86,2023-01-01,172
172,Raptors,Hoodies,Arena Store,4,90,2023-01-27,360
173,Clippers,Footwear,Online,1,34,2023-04-14,34
174,Bucks,Collectibles,Retail Partner,2,66,2023-10-13,132
175,Bucks,Hats,Retail Partner,1,48,2022-08-31,48
176,Heat,Hats,Online,4,150,2022-09-27,600
177,Spurs,Collectibles,Online,1,156,2023-02-22,156
178,Lakers,Hoodies,Retail Partner,3,54,2023-08-24,162
179,Nets,Jerseys,Online,1,158,2022-08-31,158
180,Nets,Hats,Online,4,177,2023-01-17,708
181,Warriors,Collectibles,Arena Store,1,131,2023-11-04,131
182,Spurs,Footwear,Arena Store,3,50,2022-09-15,150
183,Nuggets,Hats,Retail Partner,1,34,2022-03-15,34
184,Suns,Hoodies,Online,1,89,2024-01-30,89
185,Heat,Collectibles,Online,1,108,2024-06-09,108
186,Raptors,Jerseys,Retail Partner,1,159,2022-11-13,159
187,Spurs,Footwear,Online,1,109,2023-10-01,109
188,Spurs,T-Shirts,Online,1,145,2024-01-14,145
189,Raptors,Jerseys,Arena Store,2,48,2022-02-08,96
190,Heat,Footwear,Retail Partner,4,129,2023-12-12,516
191,Lakers,Hats,Arena Store,4,147,2023-05-21,588
192,Warriors,Footwear,Retail Partner,3,134,2023-04-06,402
193,Mavericks,Collectibles,Online,1,178,2022-04-07,178
194,Mavericks,Hats,Arena Store,3,171,2022-12-05,513
195,Mavericks,Hats,Retail Partner,4,28,2024-02-20,112
196,Warriors,T-Shirts,Online,3,146,2023-05-29,438
197,Nets,Footwear,Online,4,171,2023-11-27,684
198,Lakers,T-Shirts,Arena Store,3,78,2024-04-07,234
199,76ers,Jerseys,Arena Store,4,65,2022-11-30,260
200,Clippers,Jerseys,Retail Partner,2,56,2023-06-19,112
201,Celtics,Collectibles,Online,1,104,2023-02-13,104
202,Warriors,Hats,Online,2,88,2023-04-12,176
203,Nets,Hats,Arena Store,2,81,2022-04-18,162
204,Bucks,Hats,Arena Store,3,83,2023-08-07,249
205,Spurs,Footwear,Online,2,97,2022-01-23,194
206,Suns,Footwear,Arena Store,2,133,2022-12-20,266
207,Suns,Jerseys,Arena Store,2,132,2022-08-15,264
208,Celtics,T-Shirts,Retail Partner,4,149,2023-01-05,596
209,Bucks,Hoodies,Online,4,112,2024-02-26,448
210,Heat,Hoodies,Arena Store,3,102,2022-07-09,306
211,Suns,Hoodies,Arena Store,2,96,2024-06-08,192
212,Bulls,Hoodies,Online,2,163,2023-08-20,326
213,Mavericks,Jerseys,Arena Store,4,178,2022-12-28,712
214,Nets,Jerseys,Arena Store,4,134,2024-03-31,536
215,Heat,T-Shirts,Retail Partner,3,42,2023-04-27,126
216,Bulls,Hats,Retail Partner,4,106,2024-01-06,424
217,Bucks,Hoodies,Retail Partner,4,123,2024-06-16,492
218,Celtics,Hats,Retail Partner,1,101,2024-04-21,101
219,Mavericks,T-Shirts,Online,2,36,2023-06-13,72
220,Raptors,Hats,Online,3,166,2024-03-31,498
221,Bucks,T-Shirts,Retail Partner,3,62,2024-03-06,186
222,Bulls,Footwear,Retail Partner,2,42,2024-01-24,84
223,Clippers,Hoodies,Arena Store,4,34,2022-06-28,136
224,Bulls,Footwear,Retail Partner,1,30,2023-11-08,30
225,Clippers,Jerseys,Retail Partner,2,66,2023-04-24,132
226,Celtics,Collectibles,Retail Partner,4,37,2022-10-09,148
227,Nets,Hoodies,Online,2,95,2023-08-11,190
228,Lakers,Footwear,Retail Partner,2,109,2023-09-13,218
229,Suns,Jerseys,Retail Partner,3,86,2023-04-25,258
230,Celtics,Hoodies,Online,1,146,2024-02-19,146
231,Suns,Hats,Arena Store,1,28,2022-08-14,28
232,Heat,Hats,Online,2,30,2022-03-06,60
233,Raptors,T-Shirts,Arena Store,3,140,2023-05-28,420
234,Mavericks,Footwear,Online,3,39,2023-08-03,117
235,Clippers,Jerseys,Arena Store,3,36,2022-01-14,108
236,Lakers,Hoodies,Online,1,116,2023-09-01,116
237,Bulls,Jerseys,Retail Partner,1,68,2022-12-11,68
238,Mavericks,Hats,Arena Store,3,152,2024-05-03,456
239,Raptors,Jerseys,Retail Partner,1,172,2024-05-08,172
240,Lakers,Jerseys,Retail Partner,1,154,2022-06-01,154
241,76ers,Hats,Arena Store,2,54,2024-06-14,108
242,Knicks,Hats,Online,4,148,2022-11-02,592
243,Celtics,T-Shirts,Arena Store,2,26,2022-11-12,52
244,Bulls,Jerseys,Arena Store,4,98,2023-03-27,392
245,Nets,Hoodies,Arena Store,2,82,2022-05-24,164
246,Mavericks,Hats,Arena Store,4,50,2022-08-23,200
247,Bucks,Collectibles,Arena Store,4,38,2024-04-14,152
248,Clippers,T-Shirts,Arena Store,2,108,2022-06-16,216
249,Warriors,T-Shirts,Online,2,39,2024-02-17,78
250,76ers,Hoodies,Retail Partner,3,26,2022-11-04,78
251,Celtics,Hoodies,Online,2,104,2023-02-15,208
252,Raptors,Collectibles,Arena Store,1,85,2023-03-29,85
253,Nets,Footwear,Arena Store,3,65,2023-11-11,195
254,Mavericks,Hats,Arena Store,1,157,2022-01-18,157
255,Spurs,Hoodies,Arena Store,1,57,2023-11-26,57
256,Bulls,Hoodies,Retail Partner,1,113,2022-05-26,113
257,Lakers,Hats,Online,4,42,2022-10-31,168
258,Lakers,Hats,Retail Partner,4,53,2023-01-24,212
259,Suns,Footwear,Online,3,79,2024-01-04,237
260,Spurs,Collectibles,Online,3,162,2022-10-03,486
261,76ers,Hats,Arena Store,1,114,2022-08-27,114
262,Celtics,Hoodies,Arena Store,3,142,2024-06-08,426
263,Nuggets,Jerseys,Online,1,85,2022-12-30,85
264,Heat,Hats,Retail Partner,4,59,2022-07-21,236
265,Celtics,Collectibles,Arena Store,4,154,2024-05-01,616
266,Clippers,Jerseys,Online,2,46,2022-09-21,92
267,Mavericks,Jerseys,Online,3,140,2022-05-04,420
268,Spurs,Jerseys,Arena Store,2,158,2023-05-07,316
269,Warriors,Hats,Retail Partner,1,151,2022-01-07,151
270,Nets,T-Shirts,Retail Partner,1,44,2022-03-07,44
271,Warriors,Collectibles,Retail Partner,4,119,2022-12-08,476
272,Celtics,Footwear,Online,3,95,2022-03-24,285
273,Nets,Hats,Online,1,142,2022-01-31,142
274,Mavericks,T-Shirts,Retail Partner,2,90,2023-08-29,180
275,Clippers,Hats,Retail Partner,2,106,2023-05-10,212
276,76ers,Hoodies,Arena Store,2,109,2023-12-15,218
277,Spurs,T-Shirts,Retail Partner,1,50,2022-11-21,50
278,76ers,Hoodies,Arena Store,3,30,2022-10-19,90
279,Celtics,Jerseys,Online,2,98,2022-08-04,196
280,Clippers,T-Shirts,Online,4,45,2023-03-30,180
281,Suns,Footwear,Online,1,58,2024-04-23,58
282,Lakers,Hats,Online,3,35,2023-08-02,105
283,Nets,Collectibles,Online,3,114,2023-03-22,342
284,Celtics,Jerseys,Retail Partner,2,164,2024-03-29,328
285,Heat,Jerseys,Online,2,162,2023-09-05,324
286,Raptors,Footwear,Online,3,80,2022-09-20,240
287,Spurs,Collectibles,Arena Store,1,34,2023-03-09,34
288,Clippers,Footwear,Online,2,52,2023-11-15,104
289,Heat,Hats,Arena Store,3,39,2022-06-10,117
290,76ers,Footwear,Retail Partner,3,151,2023-08-28,453
291,Mavericks,T-Shirts,Online,1,25,2023-02-08,25
292,Lakers,Collectibles,Online,2,42,2022-05-22,84
293,Nets,Hoodies,Arena Store,4,78,2023-09-06,312
294,Bulls,Footwear,Online,1,114,2023-11-23,114
295,Lakers,Footwear,Online,2,30,2022-05-12,60
296,Mavericks,Collectibles,Retail Partner,2,60,2022-08-28,120
297,76ers,Hats,Arena Store,1,161,2023-12-04,161
298,Bucks,Hats,Retail Partner,3,168,2023-07-06,504
299,Raptors,Footwear,Online,2,144,2023-06-12,288
300,Nets,Hoodies,Arena Store,2,109,2023-11-30,218
301,Mavericks,Jerseys,Online,3,54,2024-03-01,162
302,Warriors,T-Shirts,Online,3,130,2023-07-25,390
303,Bucks,Footwear,Arena Store,1,150,2023-04-14,150
304,Bucks,Collectibles,Arena Store,4,113,2023-01-26,452
305,Bulls,Footwear,Retail Partner,4,116,2023-06-18,464
306,76ers,Footwear,Retail Partner,1,139,2022-02-19,139
307,Nuggets,Hoodies,Online,2,56,2023-12-21,112
308,Nuggets,Hats,Arena Store,4,71,2022-05-18,284
309,Lakers,Collectibles,Retail Partner,4,65,2022-04-20,260
310,Knicks,Hats,Arena Store,4,70,2022-04-16,280
311,Mavericks,Collectibles,Arena Store,1,48,2022-10-12,48
312,Clippers,T-Shirts,Arena Store,2,122,2023-03-28,244
313,Nets,Collectibles,Arena Store,2,139,2022-05-26,278
314,Knicks,Hats,Retail Partner,1,151,2022-10-07,151
315,Spurs,Hats,Retail Partner,4,142,2023-04-23,568
316,Knicks,Hoodies,Retail Partner,1,46,2023-12-06,46
317,Suns,Hoodies,Retail Partner,3,125,2023-02-03,375
318,Bulls,T-Shirts,Arena Store,2,84,2023-04-28,168
319,Clippers,T-Shirts,Arena Store,2,133,2023-08-26,266
320,Heat,Jerseys,Online,1,138,2023-09-06,138
321,Bucks,Footwear,Retail Partner,2,155,2023-08-04,310
322,Mavericks,Hats,Arena Store,3,83,2022-05-13,249
323,Lakers,Hats,Arena Store,4,62,2023-05-04,248
324,76ers,Collectibles,Online,4,56,2022-01-30,224
325,Knicks,Hats,Arena Store,1,110,2022-11-09,110
326,Nets,T-Shirts,Retail Partner,2,147,2024-03-27,294
327,Clippers,Hats,Online,4,163,2022-07-30,652
328,Suns,Hoodies,Retail Partner,4,104,2023-03-13,416
329,Knicks,Hoodies,Retail Partner,4,84,2022-11-23,336
330,Nuggets,T-Shirts,Arena Store,4,28,2023-12-06,112
331,Heat,Footwear,Online,3,151,2023-09-17,453
332,Knicks,Footwear,Arena Store,4,93,2022-06-23,372
333,Heat,Collectibles,Arena Store,3,173,2023-03-10,519
334,Warriors,Hoodies,Arena Store,3,113,2024-05-10,339
335,Clippers,Jerseys,Arena Store,1,97,2024-03-07,97
336,Bulls,Jerseys,Arena Store,1,158,2024-01-26,158
337,Nets,Hoodies,Arena Store,3,141,2023-07-01,423
338,Knicks,T-Shirts,Arena Store,3,164,2022-05-16,492
339,Spurs,Footwear,Arena Store,4,130,2022-06-29,520
340,Heat,Jerseys,Arena Store,4,66,2022-11-03,264
341,Bulls,Jerseys,Arena Store,2,94,2024-04-13,188
342,Bulls,T-Shirts,Online,3,118,2023-05-17,354
343,Bucks,T-Shirts,Retail Partner,1,153,2023-08-16,153
344,76ers,Hats,Arena Store,4,127,2022-06-11,508
345,Heat,Jerseys,Online,3,109,2023-06-02,327
346,76ers,Collectibles,Retail Partner,2,111,2023-05-15,222
347,Lakers,Hats,Retail Partner,1,136,2024-02-22,136
348,Raptors,T-Shirts,Retail Partner,1,156,2023-05-12,156
349,Bulls,Hoodies,Retail Partner,2,114,2022-08-29,228
350,Mavericks,Jerseys,Online,1,93,2023-10-06,93
351,Suns,T-Shirts,Online,2,111,2022-12-16,222
352,Mavericks,Collectibles,Retail Partner,3,124,2023-10-31,372
353,Spurs,Footwear,Online,3,72,2023-05-06,216
354,Bucks,Footwear,Online,3,133,2023-05-07,399
355,Nuggets,Jerseys,Online,2,153,2023-08-29,306
356,Bucks,Footwear,Online,1,103,2023-07-14,103
357,Nets,Jerseys,Online,4,72,2022-06-09,288
358,Warriors,Jerseys,Arena Store,4,158,2023-10-13,632
359,Warriors,Footwear,Arena Store,2,173,2022-07-24,346
360,Heat,T-Shirts,Online,2,42,2022-05-11,84
361,76ers,Hoodies,Retail Partner,1,176,2023-07-15,176
362,Heat,T-Shirts,Online,2,31,2024-05-21,62
363,Suns,Footwear,Online,1,131,2022-11-20,131
364,Lakers,Jerseys,Retail Partner,3,68,2022-10-17,204
365,Mavericks,T-Shirts,Online,1,100,2023-11-12,100
366,Spurs,Hoodies,Online,2,128,2022-04-21,256
367,76ers,Hoodies,Retail Partner,3,137,2022-12-16,411
368,Bucks,T-Shirts,Arena Store,2,136,2022-05-16,272
369,Heat,Hoodies,Arena Store,4,117,2022-02-07,468
370,Knicks,Hoodies,Retail Partner,2,178,2023-06-28,356
371,Nets,Hoodies,Arena Store,2,49,2022-08-26,98
372,Bucks,T-Shirts,Arena Store,4,27,2023-07-10,108
373,Bulls,Footwear,Retail Partner,4,125,2023-11-01,500
374,Heat,Hoodies,Online,3,102,2022-01-21,306
375,Raptors,T-Shirts,Retail Partner,4,78,2024-05-11,312
376,Spurs,Footwear,Retail Partner,1,110,2023-08-13,110
377,Spurs,Collectibles,Arena Store,3,120,2024-03-07,360
378,Bucks,Collectibles,Online,2,127,2023-09-06,254
379,Raptors,Footwear,Retail Partner,2,151,2022-03-25,302
380,Bucks,Hats,Arena Store,2,127,2022-07-01,254
381,Lakers,Hats,Online,3,131,2024-02-10,393
382,Lakers,T-Shirts,Retail Partner,3,64,2023-02-17,192
383,76ers,Jerseys,Arena Store,3,33,2023-01-09,99
384,Heat,Hoodies,Retail Partner,4,162,2022-10-23,648
385,Spurs,T-Shirts,Arena Store,4,151,2022-01-18,604
386,Spurs,Footwear,Arena Store,1,138,2023-10-05,138
387,Bucks,Jerseys,Retail Partner,3,64,2023-11-28,192
388,Knicks,Hats,Online,2,92,2023-04-06,184
389,Spurs,Footwear,Online,1,179,2023-07-24,179
390,Clippers,T-Shirts,Online,4,42,2022-11-08,168
391,Heat,Hoodies,Arena Store,3,80,2023-01-20,240
392,Spurs,T-Shirts,Retail Partner,4,125,2023-01-09,500
393,Warriors,Jerseys,Arena Store,1,172,2022-06-24,172
394,Nets,Jerseys,Arena Store,4,142,2023-08-12,568
395,Suns,Collectibles,Retail Partner,3,150,2022-09-30,450
396,Celtics,Collectibles,Retail Partner,4,48,2022-05-20,192
397,Heat,Footwear,Online,2,166,2022-05-15,332
398,Clippers,T-Shirts,Arena Store,3,136,2022-03-30,408
399,Heat,Hats,Retail Partner,2,114,2024-05-08,228
400,76ers,Hats,Arena Store,3,64,2023-09-20,192
401,Celtics,Hoodies,Retail Partner,3,30,2022-12-02,90
402,Spurs,Hats,Arena Store,1,65,2022-11-22,65
403,Heat,Hats,Retail Partner,3,109,2023-11-05,327
404,Bulls,Footwear,Arena Store,3,166,2024-06-05,498
405,Raptors,Hoodies,Online,1,55,2022-11-09,55
406,Knicks,Jerseys,Arena Store,2,42,2024-05-16,84
407,Mavericks,Hoodies,Retail Partner,4,71,2023-01-21,284
408,76ers,Jerseys,Online,1,34,2023-10-06,34
409,Bulls,Jerseys,Arena Store,2,140,2023-09-10,280
410,Clippers,Jerseys,Retail Partner,1,161,2023-03-15,161
411,Raptors,Collectibles,Online,2,153,2022-05-16,306
412,Spurs,Jerseys,Arena Store,1,64,2022-03-16,64
413,Clippers,Hats,Retail Partner,2,50,2024-06-07,100
414,Celtics,T-Shirts,Arena Store,1,96,2022-01-16,96
415,Mavericks,Footwear,Online,3,140,2023-03-07,420
416,Suns,Jerseys,Arena Store,3,165,2022-09-15,495
417,Raptors,Collectibles,Arena Store,1,74,2022-03-04,74
418,Clippers,Hats,Online,2,132,2022-07-21,264
419,Clippers,Collectibles,Retail Partner,2,46,2024-01-07,92
420,Mavericks,Hoodies,Online,1,33,2024-04-27,33
421,Mavericks,Hoodies,Retail Partner,4,63,2023-09-07,252
422,Suns,Jerseys,Retail Partner,2,63,2022-04-27,126
423,76ers,Hoodies,Online,1,95,2022-03-16,95
424,Bulls,Hoodies,Online,2,136,2022-11-06,272
425,Clippers,Footwear,Online,1,92,2022-03-04,92
426,Suns,Hats,Retail Partner,2,78,2024-06-12,156
427,Knicks,Hats,Arena Store,3,156,2022-06-19,468
428,Warriors,Hats,Arena Store,1,63,2024-05-09,63
429,Raptors,Collectibles,Online,1,159,2023-10-14,159
430,Suns,Hats,Arena Store,3,162,2024-03-05,486
431,Knicks,Jerseys,Arena Store,2,46,2024-01-09,92
432,Celtics,Footwear,Online,4,43,2022-01-13,172
433,Clippers,Collectibles,Retail Partner,3,127,2022-05-08,381
434,Suns,Collectibles,Retail Partner,4,43,2023-11-04,172
435,76ers,Jerseys,Online,4,171,2022-06-30,684
436,Mavericks,Hats,Arena Store,2,40,2022-10-01,80
437,Heat,T-Shirts,Arena Store,1,87,2022-05-19,87
438,Heat,T-Shirts,Retail Partner,4,91,2023-10-31,364
439,Mavericks,Hoodies,Arena Store,1,72,2022-01-24,72
440,Spurs,Jerseys,Retail Partner,3,77,2022-07-15,231
441,Knicks,Hoodies,Retail Partner,3,37,2023-01-29,111
442,Spurs,Footwear,Online,4,82,2023-10-12,328
443,Mavericks,T-Shirts,Online,1,106,2022-08-09,106
444,Warriors,T-Shirts,Online,1,83,2022-06-01,83
445,Lakers,Jerseys,Retail Partner,1,147,2024-01-20,147
446,Bulls,Hoodies,Online,2,46,2022-06-30,92
447,Bucks,Jerseys,Retail Partner,2,137,2023-10-23,274
448,Celtics,Collectibles,Online,4,79,2024-02-08,316
449,Knicks,Jerseys,Arena Store,2,57,2022-08-18,114
450,Lakers,Footwear,Arena Store,3,129,2022-06-10,387
451,Raptors,T-Shirts,Online,2,61,2022-09-17,122
